fold,sample_index,ground_truth,dataset_split,attribute,attribute_data,{Vi},{Ve},{Se},{Vi ∪ Ve},{Vi ∪ Se},{Ve ∪ Se},{Vi ∪ Ve ∪ Se}
0,0,Setosa,train,SL,5.1,0.0,0.0,0.8088,0.0,0.0,0.1635,0.0277
0,0,Setosa,train,SW,3.5,0.0,0.0,0.7035,0.0,0.2487,0.0,0.0478
0,0,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,Setosa,train,SL,4.9,0.0,0.0,0.8904,0.0,0.0,0.0961,0.0136
0,1,Setosa,train,SW,3.0,0.4551,0.0,0.0,0.3371,0.0,0.0,0.2077
0,1,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,2,Setosa,train,SL,4.7,0.0,0.0,0.9286,0.0,0.0,0.0637,0.0078
0,2,Setosa,train,SW,3.2,0.4286,0.0,0.0,0.0,0.3825,0.0,0.1889
0,2,Setosa,train,PL,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,2,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,3,Setosa,train,SL,4.6,0.0,0.0,0.9389,0.0,0.0,0.0548,0.0063
0,3,Setosa,train,SW,3.1,0.4535,0.0,0.0,0.0,0.2866,0.0,0.26
0,3,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,3,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,5,Setosa,train,SL,5.4,0.0,0.0,0.5295,0.0,0.0,0.3805,0.09
0,5,Setosa,train,SW,3.9,0.0,0.0,0.9425,0.0,0.0543,0.0,0.0032
0,5,Setosa,train,PL,1.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,5,Setosa,train,PW,0.4,0.0,0.0,0.9999,0.0,0.0,0.0001,0.0
0,6,Setosa,train,SL,4.6,0.0,0.0,0.9389,0.0,0.0,0.0548,0.0063
0,6,Setosa,train,SW,3.4,0.0,0.0,0.6007,0.0,0.3181,0.0,0.0812
0,6,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,6,Setosa,train,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,7,Setosa,train,SL,5.0,0.0,0.0,0.8571,0.0,0.0,0.1238,0.0191
0,7,Setosa,train,SW,3.4,0.0,0.0,0.6007,0.0,0.3181,0.0,0.0812
0,7,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,7,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,8,Setosa,train,SL,4.4,0.0,0.0,0.9495,0.0,0.0,0.0458,0.0048
0,8,Setosa,train,SW,2.9,0.4373,0.0,0.0,0.4158,0.0,0.0,0.147
0,8,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,8,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,10,Setosa,train,SL,5.4,0.0,0.0,0.5295,0.0,0.0,0.3805,0.09
0,10,Setosa,train,SW,3.7,0.0,0.0,0.8588,0.0,0.1275,0.0,0.0137
0,10,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,10,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,11,Setosa,train,SL,4.8,0.0,0.0,0.9131,0.0,0.0,0.0768,0.01
0,11,Setosa,train,SW,3.4,0.0,0.0,0.6007,0.0,0.3181,0.0,0.0812
0,11,Setosa,train,PL,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,11,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,12,Setosa,train,SL,4.8,0.0,0.0,0.9131,0.0,0.0,0.0768,0.01
0,12,Setosa,train,SW,3.0,0.4551,0.0,0.0,0.3371,0.0,0.0,0.2077
