fold,sample_index,ground_truth,dataset_split,attribute,attribute_data,{Vi},{Ve},{Se},{Vi ∪ Ve},{Vi ∪ Se},{Ve ∪ Se},{Vi ∪ Ve ∪ Se}
2,1,Setosa,train,SL,4.9,0.0,0.0,0.8782,0.0,0.0,0.1006,0.0213
2,1,Setosa,train,SW,3.0,0.4643,0.0,0.0,0.3648,0.0,0.0,0.1709
2,1,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,1,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,2,Setosa,train,SL,4.7,0.0,0.0,0.9197,0.0,0.0,0.0664,0.0139
2,2,Setosa,train,SW,3.2,0.4181,0.0,0.0,0.0,0.365,0.0,0.217
2,2,Setosa,train,PL,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,2,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,3,Setosa,train,SL,4.6,0.0,0.0,0.9313,0.0,0.0,0.0567,0.012
2,3,Setosa,train,SW,3.1,0.454,0.0,0.0,0.2903,0.0,0.0,0.2557
2,3,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,3,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,4,Setosa,train,SL,5.0,0.0,0.0,0.843,0.0,0.0,0.129,0.028
2,4,Setosa,train,SW,3.6,0.0,0.0,0.8233,0.0,0.1449,0.0,0.0318
2,4,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,4,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,6,Setosa,train,SL,4.6,0.0,0.0,0.9313,0.0,0.0,0.0567,0.012
2,6,Setosa,train,SW,3.4,0.0,0.0,0.6188,0.0,0.2847,0.0,0.0966
2,6,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,6,Setosa,train,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,7,Setosa,train,SL,5.0,0.0,0.0,0.843,0.0,0.0,0.129,0.028
2,7,Setosa,train,SW,3.4,0.0,0.0,0.6188,0.0,0.2847,0.0,0.0966
2,7,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,7,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,9,Setosa,train,SL,4.9,0.0,0.0,0.8782,0.0,0.0,0.1006,0.0213
2,9,Setosa,train,SW,3.1,0.454,0.0,0.0,0.2903,0.0,0.0,0.2557
2,9,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
