sample_index,ground_truth,dataset_split,fold,attribute,attribute_data,{Bf},{Bn},{Vf},{Co},{Ta},{He},{Bf ∪ Bn},{Bf ∪ Vf},{Bf ∪ Co},{Bf ∪ Ta},{Bf ∪ He},{Bn ∪ Vf},{Bn ∪ Co},{Bn ∪ Ta},{Bn ∪ He},{Vf ∪ Co},{Vf ∪ Ta},{Vf ∪ He},{Co ∪ Ta},{Co ∪ He},{Ta ∪ He},{Bf ∪ Bn ∪ Vf},{Bf ∪ Bn ∪ Co},{Bf ∪ Bn ∪ Ta},{Bf ∪ Bn ∪ He},{Bf ∪ Vf ∪ Co},{Bf ∪ Vf ∪ Ta},{Bf ∪ Vf ∪ He},{Bf ∪ Co ∪ Ta},{Bf ∪ Co ∪ He},{Bf ∪ Ta ∪ He},{Bn ∪ Vf ∪ Co},{Bn ∪ Vf ∪ Ta},{Bn ∪ Vf ∪ He},{Bn ∪ Co ∪ Ta},{Bn ∪ Co ∪ He},{Bn ∪ Ta ∪ He},{Vf ∪ Co ∪ Ta},{Vf ∪ Co ∪ He},{Vf ∪ Ta ∪ He},{Co ∪ Ta ∪ He},{Bf ∪ Bn ∪ Vf ∪ Co},{Bf ∪ Bn ∪ Vf ∪ Ta},{Bf ∪ Bn ∪ Vf ∪ He},{Bf ∪ Bn ∪ Co ∪ Ta},{Bf ∪ Bn ∪ Co ∪ He},{Bf ∪ Bn ∪ Ta ∪ He},{Bf ∪ Vf ∪ Co ∪ Ta},{Bf ∪ Vf ∪ Co ∪ He},{Bf ∪ Vf ∪ Ta ∪ He},{Bf ∪ Co ∪ Ta ∪ He},{Bn ∪ Vf ∪ Co ∪ Ta},{Bn ∪ Vf ∪ Co ∪ He},{Bn ∪ Vf ∪ Ta ∪ He},{Bn ∪ Co ∪ Ta ∪ He},{Vf ∪ Co ∪ Ta ∪ He},{Bf ∪ Bn ∪ Vf ∪ Co ∪ Ta},{Bf ∪ Bn ∪ Vf ∪ Co ∪ He},{Bf ∪ Bn ∪ Vf ∪ Ta ∪ He},{Bf ∪ Bn ∪ Co ∪ Ta ∪ He},{Bf ∪ Vf ∪ Co ∪ Ta ∪ He},{Bn ∪ Vf ∪ Co ∪ Ta ∪ He},{Bf ∪ Bn ∪ Vf ∪ Co ∪ Ta ∪ He}
1,building_windows_float_processed,test,3,RI,1.52101,0.2381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1295,0.0,0.0,0.1111
1,building_windows_float_processed,test,3,Na,13.64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,building_windows_float_processed,test,3,Mg,4.49,0.0,0.7103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,building_windows_float_processed,test,3,Al,1.1,0.3292,0.0,0.0,0.0,0.0,0.0,0.0,0.2624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0582,0.0,0.0,0.0,0.0,0.0,0.019
1,building_windows_float_processed,test,3,Si,71.78,0.0,0.0,0.2117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1459,0.0,0.0,0.0,0.0,0.1045
1,building_windows_float_processed,test,3,K,0.06,0.4914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268,0.0,0.0,0.0,0.0,0.0
1,building_windows_float_processed,test,3,Ca,8.75,0.0,0.0,0.4064,0.0,0.0,0.0,0.0,0.2428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0512
1,building_windows_float_processed,test,3,Ba,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,building_windows_float_processed,test,3,Fe,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,building_windows_float_processed,test,4,RI,1.51761,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
