sample_index,ground_truth,dataset_split,fold,attribute,attribute_data,{C1},{C2},{C3},{C1 ∪ C2},{C1 ∪ C3},{C2 ∪ C3},{C1 ∪ C2 ∪ C3}
1,Class 1,unknown,2,Alc,14.23,0.8306,0.0,0.0,0.0,0.1679,0.0,0.0015
1,Class 1,unknown,2,Mal,1.71,0.9266,0.0,0.0,0.0699,0.0,0.0,0.0035
1,Class 1,unknown,2,Ash,2.43,0.0,0.0,0.4409,0.0,0.3387,0.0,0.2204
1,Class 1,unknown,2,AlkAsh,15.6,0.7102,0.0,0.0,0.2529,0.0,0.0,0.0369
1,Class 1,unknown,2,Mg,127.0,0.5558,0.0,0.0,0.3777,0.0,0.0,0.0665
1,Class 1,unknown,2,TotPhen,2.8,0.8483,0.0,0.0,0.0,0.0957,0.0,0.056
1,Class 1,unknown,2,Flav,3.06,0.8516,0.0,0.0,0.1484,0.0,0.0,0.0
1,Class 1,unknown,2,Nonflav,0.28,0.6197,0.0,0.0,0.2757,0.0,0.0,0.1046
1,Class 1,unknown,2,ProAn,2.29,0.6322,0.0,0.0,0.3362,0.0,0.0,0.0316
1,Class 1,unknown,2,Color,5.64,0.6801,0.0,0.0,0.0,0.2985,0.0,0.0214
1,Class 1,unknown,2,Hue,1.04,0.6611,0.0,0.0,0.335,0.0,0.0,0.0039
1,Class 1,unknown,2,OD,3.92,0.6876,0.0,0.0,0.3124,0.0,0.0,0.0
1,Class 1,unknown,2,Proline,1065.0,0.9955,0.0,0.0,0.0,0.0036,0.0,0.0009
2,Class 1,unknown,1,Alc,13.2,0.0,0.0,0.5979,0.0,0.2898,0.0,0.1123
2,Class 1,unknown,1,Mal,1.78,0.9272,0.0,0.0,0.0689,0.0,0.0,0.0039
2,Class 1,unknown,1,Ash,2.14,0.0,0.4904,0.0,0.2694,0.0,0.0,0.2402
2,Class 1,unknown,1,AlkAsh,11.2,0.6138,0.0,0.0,0.386,0.0,0.0,0.0002
2,Class 1,unknown,1,Mg,100.0,0.0,0.0,0.3898,0.0,0.3677,0.0,0.2425
2,Class 1,unknown,1,TotPhen,2.65,0.6479,0.0,0.0,0.3448,0.0,0.0,0.0073
2,Class 1,unknown,1,Flav,2.76,0.709,0.0,0.0,0.291,0.0,0.0,0.0
2,Class 1,unknown,1,Nonflav,0.26,0.6185,0.0,0.0,0.2416,0.0,0.0,0.1399
