sample_index,ground_truth,dataset_split,attribute,attribute_data,{Vi},{Ve},{Se},{Vi ∪ Ve},{Vi ∪ Se},{Ve ∪ Se},{Vi ∪ Ve ∪ Se}
1,Setosa,unknown,SL,5.1,0.0,0.0,0.8033,0.0,0.0,0.1716,0.0251
1,Setosa,unknown,SW,3.5,0.0,0.0,0.6811,0.0,0.2563,0.0,0.0626
1,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,Setosa,unknown,SL,4.9,0.0,0.0,0.8941,0.0,0.0,0.0933,0.0126
2,Setosa,unknown,SW,3.0,0.4417,0.0,0.0,0.3354,0.0,0.0,0.2229
2,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,Setosa,unknown,SL,4.7,0.0,0.0,0.9385,0.0,0.0,0.0543,0.0072
3,Setosa,unknown,SW,3.2,0.4191,0.0,0.0,0.0,0.377,0.0,0.2039
3,Setosa,unknown,PL,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,Setosa,unknown,SL,4.6,0.0,0.0,0.9513,0.0,0.0,0.0429,0.0058
4,Setosa,unknown,SW,3.1,0.44,0.0,0.0,0.0,0.2922,0.0,0.2678
4,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,Setosa,unknown,SL,5.0,0.0,0.0,0.8566,0.0,0.0,0.1259,0.0175
5,Setosa,unknown,SW,3.6,0.0,0.0,0.772,0.0,0.1911,0.0,0.0369
5,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,Setosa,unknown,SL,5.4,0.0,0.0,0.5149,0.0,0.0,0.409,0.0761
6,Setosa,unknown,SW,3.9,0.0,0.0,0.9391,0.0,0.0557,0.0,0.0052
6,Setosa,unknown,PL,1.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,Setosa,unknown,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,Setosa,unknown,SL,4.6,0.0,0.0,0.9513,0.0,0.0,0.0429,0.0058
7,Setosa,unknown,SW,3.4,0.0,0.0,0.5791,0.0,0.3217,0.0,0.0992
7,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,Setosa,unknown,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,Setosa,unknown,SL,5.0,0.0,0.0,0.8566,0.0,0.0,0.1259,0.0175
8,Setosa,unknown,SW,3.4,0.0,0.0,0.5791,0.0,0.3217,0.0,0.0992
8,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,Setosa,unknown,SL,4.4,0.0,0.0,0.9666,0.0,0.0,0.0292,0.0042
9,Setosa,unknown,SW,2.9,0.4274,0.0,0.0,0.4039,0.0,0.0,0.1687
9,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,Setosa,unknown,SL,4.9,0.0,0.0,0.8941,0.0,0.0,0.0933,0.0126
10,Setosa,unknown,SW,3.1,0.44,0.0,0.0,0.0,0.2922,0.0,0.2678
10,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,Setosa,unknown,PW,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,Setosa,unknown,SL,5.4,0.0,0.0,0.5149,0.0,0.0,0.409,0.0761
11,Setosa,unknown,SW,3.7,0.0,0.0,0.8457,0.0,0.1339,0.0,0.0204
11,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
