sample_index,ground_truth,dataset_split,attribute,attribute_data,{Ka},{Ro},{Ca},{Ka ∪ Ro},{Ka ∪ Ca},{Ro ∪ Ca},{Ka ∪ Ro ∪ Ca}
1,Kama,unknown,A,15.26,0.8797,0.0,0.0,0.1203,0.0,0.0,0.0
1,Kama,unknown,P,14.84,0.8339,0.0,0.0,0.1661,0.0,0.0,0.0
1,Kama,unknown,C,0.871,0.3958,0.0,0.0,0.3859,0.0,0.0,0.2183
1,Kama,unknown,KL,5.763,0.6188,0.0,0.0,0.3791,0.0,0.0,0.0021
1,Kama,unknown,KW,3.312,0.8571,0.0,0.0,0.1374,0.0,0.0,0.0055
1,Kama,unknown,AC,2.221,0.5863,0.0,0.0,0.3069,0.0,0.0,0.1068
1,Kama,unknown,KG,5.22,0.0,0.0,0.5994,0.0,0.395,0.0,0.0056
2,Kama,unknown,A,14.88,0.9395,0.0,0.0,0.0604,0.0,0.0,0.0001
2,Kama,unknown,P,14.57,0.9467,0.0,0.0,0.0525,0.0,0.0,0.0008
2,Kama,unknown,C,0.8811,0.0,0.4748,0.0,0.413,0.0,0.0,0.1122
2,Kama,unknown,KL,5.554,0.8166,0.0,0.0,0.0,0.106,0.0,0.0774
2,Kama,unknown,KW,3.333,0.8243,0.0,0.0,0.1723,0.0,0.0,0.0034
2,Kama,unknown,AC,1.018,0.7719,0.0,0.0,0.1929,0.0,0.0,0.0352
2,Kama,unknown,KG,4.956,0.0,0.0,0.5261,0.0,0.4737,0.0,0.0002
3,Kama,unknown,A,14.29,0.9749,0.0,0.0,0.0213,0.0,0.0,0.0038
3,Kama,unknown,P,14.09,0.9229,0.0,0.0,0.0,0.0706,0.0,0.0065
3,Kama,unknown,C,0.905,0.0,0.5032,0.0,0.4598,0.0,0.0,0.037
3,Kama,unknown,KL,5.291,0.0,0.0,0.6886,0.0,0.3067,0.0,0.0047
3,Kama,unknown,KW,3.337,0.8172,0.0,0.0,0.1797,0.0,0.0,0.0031
3,Kama,unknown,AC,2.699,0.4935,0.0,0.0,0.3491,0.0,0.0,0.1574
3,Kama,unknown,KG,4.825,0.6503,0.0,0.0,0.0,0.3496,0.0,0.0001
4,Kama,unknown,A,13.84,0.959,0.0,0.0,0.0,0.0311,0.0,0.0099
4,Kama,unknown,P,13.94,0.803,0.0,0.0,0.0,0.1938,0.0,0.0032
4,Kama,unknown,C,0.8955,0.0,0.5174,0.0,0.4306,0.0,0.0,0.052
4,Kama,unknown,KL,5.324,0.0,0.0,0.6313,0.0,0.3619,0.0,0.0068
4,Kama,unknown,KW,3.379,0.7259,0.0,0.0,0.273,0.0,0.0,0.0011
4,Kama,unknown,AC,2.259,0.5792,0.0,0.0,0.3105,0.0,0.0,0.1103
4,Kama,unknown,KG,4.805,0.6823,0.0,0.0,0.0,0.3176,0.0,0.0001
5,Kama,unknown,A,16.14,0.5177,0.0,0.0,0.4823,0.0,0.0,0.0
