sample_index,ground_truth,dataset_split,attribute,attribute_data,{C1},{C2},{C3},{C1 ∪ C2},{C1 ∪ C3},{C2 ∪ C3},{C1 ∪ C2 ∪ C3}
1,Class 1,unknown,Alc,14.23,0.8306,0.0,0.0,0.0,0.1666,0.0,0.0028
1,Class 1,unknown,Mal,1.71,0.9421,0.0,0.0,0.0532,0.0,0.0,0.0047
1,Class 1,unknown,Ash,2.43,0.0,0.0,0.4188,0.0,0.354,0.0,0.2272
1,Class 1,unknown,AlkAsh,15.6,0.7159,0.0,0.0,0.2399,0.0,0.0,0.0442
1,Class 1,unknown,Mg,127.0,0.5212,0.0,0.0,0.3648,0.0,0.0,0.114
1,Class 1,unknown,TotPhen,2.8,0.7228,0.0,0.0,0.2704,0.0,0.0,0.0068
1,Class 1,unknown,Flav,3.06,0.815,0.0,0.0,0.185,0.0,0.0,0.0
1,Class 1,unknown,Nonflav,0.28,0.5935,0.0,0.0,0.285,0.0,0.0,0.1215
1,Class 1,unknown,ProAn,2.29,0.6043,0.0,0.0,0.325,0.0,0.0,0.0707
1,Class 1,unknown,Color,5.64,0.6936,0.0,0.0,0.0,0.2867,0.0,0.0197
1,Class 1,unknown,Hue,1.04,0.6038,0.0,0.0,0.3874,0.0,0.0,0.0088
1,Class 1,unknown,OD,3.92,0.0,0.5269,0.0,0.4731,0.0,0.0,0.0
1,Class 1,unknown,Proline,1065.0,0.9968,0.0,0.0,0.0028,0.0,0.0,0.0004
2,Class 1,unknown,Alc,13.2,0.0,0.0,0.5639,0.0,0.2944,0.0,0.1417
2,Class 1,unknown,Mal,1.78,0.9445,0.0,0.0,0.051,0.0,0.0,0.0045
2,Class 1,unknown,Ash,2.14,0.0,0.4814,0.0,0.2762,0.0,0.0,0.2424
2,Class 1,unknown,AlkAsh,11.2,0.805,0.0,0.0,0.1945,0.0,0.0,0.0005
2,Class 1,unknown,Mg,100.0,0.0,0.0,0.4049,0.0,0.3537,0.0,0.2414
2,Class 1,unknown,TotPhen,2.65,0.6297,0.0,0.0,0.3488,0.0,0.0,0.0215
2,Class 1,unknown,Flav,2.76,0.7002,0.0,0.0,0.2998,0.0,0.0,0.0
2,Class 1,unknown,Nonflav,0.26,0.6042,0.0,0.0,0.2886,0.0,0.0,0.1072
2,Class 1,unknown,ProAn,1.28,0.0,0.0,0.4734,0.0,0.0,0.3083,0.2183
2,Class 1,unknown,Color,4.38,0.4636,0.0,0.0,0.3572,0.0,0.0,0.1792
2,Class 1,unknown,Hue,1.05,0.6133,0.0,0.0,0.3799,0.0,0.0,0.0068
2,Class 1,unknown,OD,3.4,0.656,0.0,0.0,0.344,0.0,0.0,0.0
2,Class 1,unknown,Proline,1050.0,0.9952,0.0,0.0,0.0041,0.0,0.0,0.0007
3,Class 1,unknown,Alc,13.16,0.0,0.0,0.5722,0.0,0.2664,0.0,0.1614
3,Class 1,unknown,Mal,2.36,0.8753,0.0,0.0,0.1144,0.0,0.0,0.0103
3,Class 1,unknown,Ash,2.67,0.4103,0.0,0.0,0.0,0.3871,0.0,0.2026
3,Class 1,unknown,AlkAsh,18.6,0.4117,0.0,0.0,0.3077,0.0,0.0,0.2806
3,Class 1,unknown,Mg,101.0,0.0,0.0,0.3976,0.0,0.3683,0.0,0.2341
3,Class 1,unknown,TotPhen,2.8,0.7228,0.0,0.0,0.2704,0.0,0.0,0.0068
3,Class 1,unknown,Flav,3.24,0.8449,0.0,0.0,0.1551,0.0,0.0,0.0
3,Class 1,unknown,Nonflav,0.3,0.5683,0.0,0.0,0.2899,0.0,0.0,0.1418
3,Class 1,unknown,ProAn,2.81,0.0,0.5515,0.0,0.3979,0.0,0.0,0.0506
3,Class 1,unknown,Color,5.68,0.6924,0.0,0.0,0.0,0.2902,0.0,0.0174
3,Class 1,unknown,Hue,1.03,0.5927,0.0,0.0,0.3959,0.0,0.0,0.0114
3,Class 1,unknown,OD,3.17,0.6447,0.0,0.0,0.3553,0.0,0.0,0.0
3,Class 1,unknown,Proline,1185.0,0.9999,0.0,0.0,0.0001,0.0,0.0,0.0
4,Class 1,unknown,Alc,14.37,0.8578,0.0,0.0,0.0,0.1405,0.0,0.0017
4,Class 1,unknown,Mal,1.95,0.9354,0.0,0.0,0.0593,0.0,0.0,0.0053
4,Class 1,unknown,Ash,2.5,0.0,0.0,0.4252,0.0,0.3675,0.0,0.2073
4,Class 1,unknown,AlkAsh,16.8,0.6214,0.0,0.0,0.2713,0.0,0.0,0.1073
4,Class 1,unknown,Mg,113.0,0.5146,0.0,0.0,0.0,0.2707,0.0,0.2147
4,Class 1,unknown,TotPhen,3.85,0.5506,0.0,0.0,0.4494,0.0,0.0,0.0
4,Class 1,unknown,Flav,3.49,0.8557,0.0,0.0,0.1443,0.0,0.0,0.0
4,Class 1,unknown,Nonflav,0.24,0.601,0.0,0.0,0.3016,0.0,0.0,0.0974
4,Class 1,unknown,ProAn,2.18,0.6288,0.0,0.0,0.2935,0.0,0.0,0.0777
4,Class 1,unknown,Color,7.8,0.0,0.0,0.7138,0.0,0.2862,0.0,0.0
4,Class 1,unknown,Hue,0.86,0.0,0.4522,0.0,0.0,0.0,0.3853,0.1625
4,Class 1,unknown,OD,3.45,0.6514,0.0,0.0,0.3486,0.0,0.0,0.0
4,Class 1,unknown,Proline,1480.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Class 1,unknown,Alc,13.24,0.0,0.0,0.5529,0.0,0.3231,0.0,0.124
5,Class 1,unknown,Mal,2.59,0.0,0.7848,0.0,0.0,0.0,0.2152,0.0
5,Class 1,unknown,Ash,2.87,0.4652,0.0,0.0,0.2727,0.0,0.0,0.2621
5,Class 1,unknown,AlkAsh,21.0,0.0,0.0,0.5085,0.0,0.0,0.3271,0.1644
5,Class 1,unknown,Mg,118.0,0.5466,0.0,0.0,0.2422,0.0,0.0,0.2112
5,Class 1,unknown,TotPhen,2.8,0.7228,0.0,0.0,0.2704,0.0,0.0,0.0068
5,Class 1,unknown,Flav,2.69,0.657,0.0,0.0,0.343,0.0,0.0,0.0
5,Class 1,unknown,Nonflav,0.39,0.0,0.3764,0.0,0.0,0.0,0.3383,0.2853
5,Class 1,unknown,ProAn,1.82,0.6168,0.0,0.0,0.3095,0.0,0.0,0.0737
5,Class 1,unknown,Color,4.32,0.4399,0.0,0.0,0.3875,0.0,0.0,0.1726
5,Class 1,unknown,Hue,1.04,0.6038,0.0,0.0,0.3874,0.0,0.0,0.0088
5,Class 1,unknown,OD,2.93,0.5727,0.0,0.0,0.4272,0.0,0.0,0.0001
5,Class 1,unknown,Proline,735.0,0.0,0.0,0.6293,0.0,0.0,0.2779,0.0928
6,Class 1,unknown,Alc,14.2,0.8236,0.0,0.0,0.0,0.1732,0.0,0.0032
6,Class 1,unknown,Mal,1.76,0.9444,0.0,0.0,0.0511,0.0,0.0,0.0045
6,Class 1,unknown,Ash,2.45,0.0,0.0,0.422,0.0,0.3577,0.0,0.2203
6,Class 1,unknown,AlkAsh,15.2,0.738,0.0,0.0,0.2303,0.0,0.0,0.0317
6,Class 1,unknown,Mg,112.0,0.5054,0.0,0.0,0.0,0.2827,0.0,0.2119
6,Class 1,unknown,TotPhen,3.27,0.8015,0.0,0.0,0.1983,0.0,0.0,0.0002
6,Class 1,unknown,Flav,3.39,0.8551,0.0,0.0,0.1449,0.0,0.0,0.0
6,Class 1,unknown,Nonflav,0.34,0.473,0.0,0.0,0.3209,0.0,0.0,0.2061
6,Class 1,unknown,ProAn,1.97,0.6476,0.0,0.0,0.2534,0.0,0.0,0.099
6,Class 1,unknown,Color,6.75,0.5559,0.0,0.0,0.0,0.4437,0.0,0.0004
6,Class 1,unknown,Hue,1.05,0.6133,0.0,0.0,0.3799,0.0,0.0,0.0068
6,Class 1,unknown,OD,2.85,0.5337,0.0,0.0,0.4661,0.0,0.0,0.0002
6,Class 1,unknown,Proline,1450.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Class 1,unknown,Alc,14.39,0.8611,0.0,0.0,0.0,0.1373,0.0,0.0016
7,Class 1,unknown,Mal,1.87,0.9416,0.0,0.0,0.0536,0.0,0.0,0.0048
7,Class 1,unknown,Ash,2.45,0.0,0.0,0.422,0.0,0.3577,0.0,0.2203
7,Class 1,unknown,AlkAsh,14.6,0.7638,0.0,0.0,0.2175,0.0,0.0,0.0187
7,Class 1,unknown,Mg,96.0,0.0,0.0,0.4243,0.0,0.2939,0.0,0.2818
7,Class 1,unknown,TotPhen,2.5,0.4857,0.0,0.0,0.4517,0.0,0.0,0.0626
7,Class 1,unknown,Flav,2.52,0.522,0.0,0.0,0.478,0.0,0.0,0.0
7,Class 1,unknown,Nonflav,0.3,0.5683,0.0,0.0,0.2899,0.0,0.0,0.1418
7,Class 1,unknown,ProAn,1.98,0.6477,0.0,0.0,0.2547,0.0,0.0,0.0976
7,Class 1,unknown,Color,5.25,0.684,0.0,0.0,0.0,0.2563,0.0,0.0597
7,Class 1,unknown,Hue,1.02,0.58,0.0,0.0,0.4052,0.0,0.0,0.0148
7,Class 1,unknown,OD,3.58,0.6273,0.0,0.0,0.3727,0.0,0.0,0.0
7,Class 1,unknown,Proline,1290.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Class 1,unknown,Alc,14.06,0.7861,0.0,0.0,0.0,0.2086,0.0,0.0053
8,Class 1,unknown,Mal,2.15,0.9104,0.0,0.0,0.0822,0.0,0.0,0.0074
8,Class 1,unknown,Ash,2.61,0.0,0.0,0.4089,0.0,0.3934,0.0,0.1977
8,Class 1,unknown,AlkAsh,17.6,0.5351,0.0,0.0,0.2905,0.0,0.0,0.1744
8,Class 1,unknown,Mg,121.0,0.5522,0.0,0.0,0.271,0.0,0.0,0.1768
8,Class 1,unknown,TotPhen,2.6,0.5875,0.0,0.0,0.3814,0.0,0.0,0.0311
8,Class 1,unknown,Flav,2.51,0.5129,0.0,0.0,0.4871,0.0,0.0,0.0
8,Class 1,unknown,Nonflav,0.31,0.5502,0.0,0.0,0.2952,0.0,0.0,0.1546
8,Class 1,unknown,ProAn,1.25,0.0,0.0,0.506,0.0,0.0,0.3105,0.1835
8,Class 1,unknown,Color,5.05,0.6597,0.0,0.0,0.0,0.2415,0.0,0.0988
8,Class 1,unknown,Hue,1.06,0.6214,0.0,0.0,0.3734,0.0,0.0,0.0052
8,Class 1,unknown,OD,3.58,0.6273,0.0,0.0,0.3727,0.0,0.0,0.0
8,Class 1,unknown,Proline,1295.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Class 1,unknown,Alc,14.83,0.9084,0.0,0.0,0.0,0.0912,0.0,0.0004
9,Class 1,unknown,Mal,1.64,0.9319,0.0,0.0,0.0626,0.0,0.0,0.0055
9,Class 1,unknown,Ash,2.17,0.0,0.44,0.0,0.2899,0.0,0.0,0.2701
9,Class 1,unknown,AlkAsh,14.0,0.7823,0.0,0.0,0.2071,0.0,0.0,0.0106
9,Class 1,unknown,Mg,97.0,0.0,0.0,0.4211,0.0,0.309,0.0,0.2699
9,Class 1,unknown,TotPhen,2.8,0.7228,0.0,0.0,0.2704,0.0,0.0,0.0068
9,Class 1,unknown,Flav,2.98,0.7938,0.0,0.0,0.2062,0.0,0.0,0.0
9,Class 1,unknown,Nonflav,0.29,0.5827,0.0,0.0,0.2865,0.0,0.0,0.1308
9,Class 1,unknown,ProAn,1.98,0.6477,0.0,0.0,0.2547,0.0,0.0,0.0976
9,Class 1,unknown,Color,5.2,0.6793,0.0,0.0,0.0,0.2527,0.0,0.068
9,Class 1,unknown,Hue,1.08,0.6334,0.0,0.0,0.3635,0.0,0.0,0.0031
9,Class 1,unknown,OD,2.85,0.5337,0.0,0.0,0.4661,0.0,0.0,0.0002
9,Class 1,unknown,Proline,1045.0,0.9946,0.0,0.0,0.0046,0.0,0.0,0.0008
10,Class 1,unknown,Alc,13.86,0.7129,0.0,0.0,0.0,0.2755,0.0,0.0116
10,Class 1,unknown,Mal,1.35,0.0,0.8222,0.0,0.1065,0.0,0.0,0.0713
10,Class 1,unknown,Ash,2.27,0.0,0.0,0.3497,0.0,0.0,0.3277,0.3226
10,Class 1,unknown,AlkAsh,16.0,0.6892,0.0,0.0,0.2502,0.0,0.0,0.0606
10,Class 1,unknown,Mg,98.0,0.0,0.0,0.4168,0.0,0.324,0.0,0.2592
10,Class 1,unknown,TotPhen,2.98,0.7824,0.0,0.0,0.2159,0.0,0.0,0.0017
10,Class 1,unknown,Flav,3.15,0.8327,0.0,0.0,0.1673,0.0,0.0,0.0
10,Class 1,unknown,Nonflav,0.22,0.5837,0.0,0.0,0.325,0.0,0.0,0.0913
10,Class 1,unknown,ProAn,1.85,0.6377,0.0,0.0,0.2429,0.0,0.0,0.1194
10,Class 1,unknown,Color,7.22,0.0,0.0,0.5553,0.0,0.4446,0.0,0.0001
10,Class 1,unknown,Hue,1.01,0.5656,0.0,0.0,0.4154,0.0,0.0,0.019
10,Class 1,unknown,OD,3.55,0.6345,0.0,0.0,0.3655,0.0,0.0,0.0
10,Class 1,unknown,Proline,1045.0,0.9946,0.0,0.0,0.0046,0.0,0.0,0.0008
11,Class 1,unknown,Alc,14.1,0.7978,0.0,0.0,0.0,0.1976,0.0,0.0046
11,Class 1,unknown,Mal,2.16,0.9089,0.0,0.0,0.0836,0.0,0.0,0.0075
11,Class 1,unknown,Ash,2.3,0.0,0.0,0.3685,0.0,0.3296,0.0,0.3019
11,Class 1,unknown,AlkAsh,18.0,0.4869,0.0,0.0,0.2984,0.0,0.0,0.2147
11,Class 1,unknown,Mg,105.0,0.4241,0.0,0.0,0.0,0.3615,0.0,0.2144
11,Class 1,unknown,TotPhen,2.95,0.7756,0.0,0.0,0.2223,0.0,0.0,0.0021
11,Class 1,unknown,Flav,3.32,0.8518,0.0,0.0,0.1482,0.0,0.0,0.0
11,Class 1,unknown,Nonflav,0.22,0.5837,0.0,0.0,0.325,0.0,0.0,0.0913
11,Class 1,unknown,ProAn,2.38,0.5779,0.0,0.0,0.3559,0.0,0.0,0.0662
11,Class 1,unknown,Color,5.75,0.6894,0.0,0.0,0.0,0.2966,0.0,0.014
11,Class 1,unknown,Hue,1.25,0.5402,0.0,0.0,0.4598,0.0,0.0,0.0
11,Class 1,unknown,OD,3.17,0.6447,0.0,0.0,0.3553,0.0,0.0,0.0
11,Class 1,unknown,Proline,1510.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Class 1,unknown,Alc,14.12,0.8035,0.0,0.0,0.0,0.1923,0.0,0.0042
12,Class 1,unknown,Mal,1.48,0.7765,0.0,0.0,0.2056,0.0,0.0,0.0179
12,Class 1,unknown,Ash,2.32,0.0,0.0,0.3795,0.0,0.3338,0.0,0.2867
12,Class 1,unknown,AlkAsh,16.8,0.6214,0.0,0.0,0.2713,0.0,0.0,0.1073
12,Class 1,unknown,Mg,95.0,0.0,0.0,0.4263,0.0,0.0,0.295,0.2787
12,Class 1,unknown,TotPhen,2.2,0.0,0.5536,0.0,0.0,0.0,0.3017,0.1447
12,Class 1,unknown,Flav,2.43,0.0,0.5633,0.0,0.4367,0.0,0.0,0.0
12,Class 1,unknown,Nonflav,0.26,0.6042,0.0,0.0,0.2886,0.0,0.0,0.1072
12,Class 1,unknown,ProAn,1.57,0.5228,0.0,0.0,0.2571,0.0,0.0,0.2201
12,Class 1,unknown,Color,5.0,0.6511,0.0,0.0,0.0,0.2377,0.0,0.1112
12,Class 1,unknown,Hue,1.17,0.6274,0.0,0.0,0.3723,0.0,0.0,0.0003
12,Class 1,unknown,OD,2.82,0.517,0.0,0.0,0.4826,0.0,0.0,0.0004
12,Class 1,unknown,Proline,1280.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Class 1,unknown,Alc,13.75,0.661,0.0,0.0,0.0,0.321,0.0,0.018
13,Class 1,unknown,Mal,1.73,0.9434,0.0,0.0,0.052,0.0,0.0,0.0046
13,Class 1,unknown,Ash,2.41,0.0,0.0,0.4143,0.0,0.3504,0.0,0.2353
13,Class 1,unknown,AlkAsh,16.0,0.6892,0.0,0.0,0.2502,0.0,0.0,0.0606
13,Class 1,unknown,Mg,89.0,0.0,0.4059,0.0,0.0,0.0,0.4055,0.1886
13,Class 1,unknown,TotPhen,2.6,0.5875,0.0,0.0,0.3814,0.0,0.0,0.0311
13,Class 1,unknown,Flav,2.76,0.7002,0.0,0.0,0.2998,0.0,0.0,0.0
13,Class 1,unknown,Nonflav,0.29,0.5827,0.0,0.0,0.2865,0.0,0.0,0.1308
13,Class 1,unknown,ProAn,1.81,0.6302,0.0,0.0,0.2415,0.0,0.0,0.1283
13,Class 1,unknown,Color,5.6,0.6945,0.0,0.0,0.0,0.2833,0.0,0.0222
13,Class 1,unknown,Hue,1.15,0.6369,0.0,0.0,0.3626,0.0,0.0,0.0005
13,Class 1,unknown,OD,2.9,0.559,0.0,0.0,0.4409,0.0,0.0,0.0001
13,Class 1,unknown,Proline,1320.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Class 1,unknown,Alc,14.75,0.9027,0.0,0.0,0.0,0.0968,0.0,0.0005
14,Class 1,unknown,Mal,1.73,0.9434,0.0,0.0,0.052,0.0,0.0,0.0046
14,Class 1,unknown,Ash,2.39,0.0,0.0,0.4086,0.0,0.3469,0.0,0.2445
14,Class 1,unknown,AlkAsh,11.4,0.8059,0.0,0.0,0.1934,0.0,0.0,0.0007
14,Class 1,unknown,Mg,91.0,0.0,0.0,0.4192,0.0,0.0,0.3625,0.2183
14,Class 1,unknown,TotPhen,3.1,0.8001,0.0,0.0,0.1993,0.0,0.0,0.0006
14,Class 1,unknown,Flav,3.69,0.8419,0.0,0.0,0.1581,0.0,0.0,0.0
14,Class 1,unknown,Nonflav,0.43,0.0,0.0,0.465,0.0,0.0,0.3969,0.1381
14,Class 1,unknown,ProAn,2.81,0.0,0.5515,0.0,0.3979,0.0,0.0,0.0506
14,Class 1,unknown,Color,5.4,0.6929,0.0,0.0,0.0,0.2674,0.0,0.0397
14,Class 1,unknown,Hue,1.25,0.5402,0.0,0.0,0.4598,0.0,0.0,0.0
14,Class 1,unknown,OD,2.73,0.0,0.5378,0.0,0.4608,0.0,0.0,0.0014
14,Class 1,unknown,Proline,1150.0,0.9997,0.0,0.0,0.0003,0.0,0.0,0.0
15,Class 1,unknown,Alc,14.38,0.8594,0.0,0.0,0.0,0.1389,0.0,0.0017
15,Class 1,unknown,Mal,1.87,0.9416,0.0,0.0,0.0536,0.0,0.0,0.0048
15,Class 1,unknown,Ash,2.38,0.0,0.0,0.4054,0.0,0.3451,0.0,0.2495
15,Class 1,unknown,AlkAsh,12.0,0.8068,0.0,0.0,0.1919,0.0,0.0,0.0013
15,Class 1,unknown,Mg,102.0,0.0,0.0,0.3896,0.0,0.3826,0.0,0.2278
15,Class 1,unknown,TotPhen,3.3,0.7991,0.0,0.0,0.2008,0.0,0.0,0.0001
15,Class 1,unknown,Flav,3.64,0.8473,0.0,0.0,0.1527,0.0,0.0,0.0
15,Class 1,unknown,Nonflav,0.29,0.5827,0.0,0.0,0.2865,0.0,0.0,0.1308
15,Class 1,unknown,ProAn,2.96,0.0,0.6272,0.0,0.3271,0.0,0.0,0.0457
15,Class 1,unknown,Color,7.5,0.0,0.0,0.6312,0.0,0.3688,0.0,0.0
15,Class 1,unknown,Hue,1.2,0.6042,0.0,0.0,0.3957,0.0,0.0,0.0001
15,Class 1,unknown,OD,3.0,0.6005,0.0,0.0,0.3995,0.0,0.0,0.0
15,Class 1,unknown,Proline,1547.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Class 1,unknown,Alc,13.63,0.5944,0.0,0.0,0.0,0.3767,0.0,0.0289
16,Class 1,unknown,Mal,1.81,0.9441,0.0,0.0,0.0513,0.0,0.0,0.0046
16,Class 1,unknown,Ash,2.7,0.4192,0.0,0.0,0.0,0.3731,0.0,0.2077
16,Class 1,unknown,AlkAsh,17.2,0.5803,0.0,0.0,0.2813,0.0,0.0,0.1384
16,Class 1,unknown,Mg,112.0,0.5054,0.0,0.0,0.0,0.2827,0.0,0.2119
16,Class 1,unknown,TotPhen,2.85,0.7442,0.0,0.0,0.2512,0.0,0.0,0.0046
16,Class 1,unknown,Flav,2.91,0.7702,0.0,0.0,0.2298,0.0,0.0,0.0
16,Class 1,unknown,Nonflav,0.3,0.5683,0.0,0.0,0.2899,0.0,0.0,0.1418
16,Class 1,unknown,ProAn,1.46,0.4272,0.0,0.0,0.0,0.296,0.0,0.2768
16,Class 1,unknown,Color,7.3,0.0,0.0,0.5766,0.0,0.4234,0.0,0.0
16,Class 1,unknown,Hue,1.28,0.0,0.5136,0.0,0.4864,0.0,0.0,0.0
16,Class 1,unknown,OD,2.88,0.5492,0.0,0.0,0.4507,0.0,0.0,0.0001
16,Class 1,unknown,Proline,1310.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Class 1,unknown,Alc,14.3,0.8451,0.0,0.0,0.0,0.1527,0.0,0.0022
17,Class 1,unknown,Mal,1.92,0.938,0.0,0.0,0.0569,0.0,0.0,0.0051
17,Class 1,unknown,Ash,2.72,0.4253,0.0,0.0,0.0,0.3627,0.0,0.212
17,Class 1,unknown,AlkAsh,20.0,0.0,0.0,0.4306,0.0,0.0,0.3192,0.2502
17,Class 1,unknown,Mg,120.0,0.5517,0.0,0.0,0.2602,0.0,0.0,0.1881
17,Class 1,unknown,TotPhen,2.8,0.7228,0.0,0.0,0.2704,0.0,0.0,0.0068
17,Class 1,unknown,Flav,3.14,0.831,0.0,0.0,0.169,0.0,0.0,0.0
17,Class 1,unknown,Nonflav,0.33,0.5024,0.0,0.0,0.311,0.0,0.0,0.1866
17,Class 1,unknown,ProAn,1.97,0.6476,0.0,0.0,0.2534,0.0,0.0,0.099
17,Class 1,unknown,Color,6.2,0.6486,0.0,0.0,0.0,0.3483,0.0,0.0031
17,Class 1,unknown,Hue,1.07,0.6281,0.0,0.0,0.3679,0.0,0.0,0.004
17,Class 1,unknown,OD,2.65,0.0,0.5922,0.0,0.4036,0.0,0.0,0.0042
17,Class 1,unknown,Proline,1280.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Class 1,unknown,Alc,13.83,0.6996,0.0,0.0,0.0,0.2873,0.0,0.0131
