sample_index,ground_truth,dataset_split,attribute,attribute_data,{Vi},{Ve},{Se},{Vi ∪ Ve},{Vi ∪ Se},{Ve ∪ Se},{Vi ∪ Ve ∪ Se}
0,Setosa,unknown,SL,5.1,0.0,0.0,0.9203,0.0,0.0,0.0704,0.0093
0,Setosa,unknown,SW,3.5,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
0,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,Setosa,unknown,SL,4.9,0.0,0.0,0.8942,0.0,0.0,0.0933,0.0126
1,Setosa,unknown,SW,3.0,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
1,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,Setosa,unknown,SL,4.7,0.0,0.0,0.9666,0.0,0.0,0.0292,0.0042
2,Setosa,unknown,SW,3.2,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
2,Setosa,unknown,PL,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,Setosa,unknown,SL,4.6,0.0,0.0,0.8566,0.0,0.0,0.1259,0.0175
3,Setosa,unknown,SW,3.1,0.0,0.0,0.58,0.0,0.321,0.0,0.099
3,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,Versicolor,unknown,SL,5.0,0.0,0.6844,0.0,0.2194,0.0,0.0,0.0961
4,Versicolor,unknown,SW,3.6,0.0,0.5376,0.0,0.3709,0.0,0.0,0.0915
4,Versicolor,unknown,PL,1.4,0.0,0.9823,0.0,0.0177,0.0,0.0,0.0
4,Versicolor,unknown,PW,0.2,0.0,0.9944,0.0,0.0056,0.0,0.0,0.0
5,Setosa,unknown,SL,5.4,0.0,0.0,0.8942,0.0,0.0,0.0933,0.0126
5,Setosa,unknown,SW,3.9,0.0,0.0,0.7752,0.0,0.1884,0.0,0.0364
5,Setosa,unknown,PL,1.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,Setosa,unknown,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,Virginica,unknown,SL,4.6,0.734,0.0,0.0,0.266,0.0,0.0,0.0
6,Virginica,unknown,SW,3.4,0.0,0.6508,0.0,0.296,0.0,0.0,0.0533
6,Virginica,unknown,PL,1.4,0.99,0.0,0.0,0.01,0.0,0.0,0.0
6,Virginica,unknown,PW,0.3,0.8748,0.0,0.0,0.1252,0.0,0.0,0.0
7,Virginica,unknown,SL,5.0,0.734,0.0,0.0,0.266,0.0,0.0,0.0
7,Virginica,unknown,SW,3.4,0.0,0.0,0.4737,0.0,0.3792,0.0,0.1471
7,Virginica,unknown,PL,1.5,0.9827,0.0,0.0,0.0173,0.0,0.0,0.0
7,Virginica,unknown,PW,0.2,0.9989,0.0,0.0,0.0011,0.0,0.0,0.0
8,Versicolor,unknown,SL,4.4,0.0,0.5238,0.0,0.4739,0.0,0.0,0.0023
8,Versicolor,unknown,SW,2.9,0.0,0.6508,0.0,0.296,0.0,0.0,0.0533
8,Versicolor,unknown,PL,1.4,0.5055,0.0,0.0,0.4945,0.0,0.0,0.0
8,Versicolor,unknown,PW,0.2,0.0,0.8859,0.0,0.1141,0.0,0.0,0.0
9,Virginica,unknown,SL,4.9,0.0,0.6293,0.0,0.3585,0.0,0.0,0.0122
9,Virginica,unknown,SW,3.1,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
9,Virginica,unknown,PL,1.5,0.5055,0.0,0.0,0.4945,0.0,0.0,0.0
9,Virginica,unknown,PW,0.1,0.8748,0.0,0.0,0.1252,0.0,0.0,0.0
10,Virginica,unknown,SL,5.4,0.0,0.6862,0.0,0.2623,0.0,0.0,0.0515
10,Virginica,unknown,SW,3.7,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
10,Virginica,unknown,PL,1.5,0.7233,0.0,0.0,0.2767,0.0,0.0,0.0
10,Virginica,unknown,PW,0.2,0.8748,0.0,0.0,0.1252,0.0,0.0,0.0
