sample_index,ground_truth,dataset_split,attribute,attribute_data,{C1},{C2},{C3},{C1 ∪ C2},{C1 ∪ C3},{C2 ∪ C3},{C1 ∪ C2 ∪ C3}
0,Class 2,unknown,Alc,14.23,0.0,0.9503,0.0,0.0,0.0,0.0495,0.0002
0,Class 2,unknown,Mal,1.71,0.0,0.8948,0.0,0.0,0.0,0.1052,0.0
0,Class 2,unknown,Ash,2.43,0.0,0.0,0.4164,0.0,0.3857,0.0,0.1979
0,Class 2,unknown,AlkAsh,15.6,0.4868,0.0,0.0,0.2984,0.0,0.0,0.2147
0,Class 2,unknown,Mg,127.0,0.0,0.0,0.4268,0.0,0.0,0.3096,0.2636
0,Class 2,unknown,TotPhen,2.8,0.0,0.5536,0.0,0.0,0.0,0.3017,0.1447
0,Class 2,unknown,Flav,3.06,0.0,0.7731,0.0,0.2269,0.0,0.0,0.0
0,Class 2,unknown,Nonflav,0.28,0.5836,0.0,0.0,0.325,0.0,0.0,0.0913
0,Class 2,unknown,ProAn,2.29,0.0,0.9157,0.0,0.0637,0.0,0.0,0.0206
0,Class 2,unknown,Color,5.64,0.0,0.8343,0.0,0.0926,0.0,0.0,0.0731
0,Class 2,unknown,Hue,1.04,0.0,0.0,0.6788,0.0,0.0,0.2836,0.0376
0,Class 2,unknown,OD,3.92,0.6253,0.0,0.0,0.3747,0.0,0.0,0.0
0,Class 2,unknown,Proline,1065.0,0.0,0.5164,0.0,0.0,0.0,0.4777,0.0059
1,Class 1,unknown,Alc,13.2,0.8034,0.0,0.0,0.0,0.1923,0.0,0.0042
1,Class 1,unknown,Mal,1.78,0.7765,0.0,0.0,0.2056,0.0,0.0,0.0179
1,Class 1,unknown,Ash,2.14,0.0,0.0,0.3795,0.0,0.3338,0.0,0.2867
1,Class 1,unknown,AlkAsh,11.2,0.6214,0.0,0.0,0.2713,0.0,0.0,0.1073
1,Class 1,unknown,Mg,100.0,0.0,0.0,0.4263,0.0,0.0,0.295,0.2787
