alpha,RD_CCJS,BJS,K
0.000000,1.155664,1.000000,1.000000
0.010000,0.978267,0.958753,0.980200
0.020000,0.884302,0.926585,0.960800
0.030000,0.825823,0.897557,0.941800
0.040000,0.785194,0.870464,0.923200
0.050000,0.753103,0.844750,0.905000
0.060000,0.725346,0.820095,0.887200
0.070000,0.700073,0.796289,0.869800
0.080000,0.676429,0.773189,0.852800
0.090000,0.653978,0.750686,0.836200
0.100000,0.632470,0.728700,0.820000
0.110000,0.611741,0.707166,0.804200
0.120000,0.591675,0.686031,0.788800
0.130000,0.572184,0.665253,0.773800
0.140000,0.553196,0.644795,0.759200
0.150000,0.534656,0.624628,0.745000
0.160000,0.516515,0.604723,0.731200
0.170000,0.498733,0.585060,0.717800
0.180000,0.481274,0.565617,0.704800
0.190000,0.464110,0.546378,0.692200
0.200000,0.447214,0.527325,0.680000
0.210000,0.430562,0.508446,0.668200
0.220000,0.414135,0.489727,0.656800
0.230000,0.397913,0.471157,0.645800
0.240000,0.381882,0.452725,0.635200
0.250000,0.366025,0.434421,0.625000
0.260000,0.350331,0.416237,0.615200
0.270000,0.334785,0.398165,0.605800
0.280000,0.319378,0.380196,0.596800
0.290000,0.304098,0.362324,0.588200
0.300000,0.288937,0.344542,0.580000
0.310000,0.273886,0.326843,0.572200
0.320000,0.258936,0.309222,0.564800
0.330000,0.244079,0.291674,0.557800
0.340000,0.229309,0.274192,0.551200
0.350000,0.214618,0.256772,0.545000
0.360000,0.200000,0.239409,0.539200
0.370000,0.185449,0.222099,0.533800
0.380000,0.170959,0.204836,0.528800
0.390000,0.156525,0.187618,0.524200
0.400000,0.142141,0.170439,0.520000
0.410000,0.127802,0.153296,0.516200
0.420000,0.113503,0.136184,0.512800
0.430000,0.099240,0.119101,0.509800
0.440000,0.085007,0.102042,0.507200
0.450000,0.070799,0.085003,0.505000
0.460000,0.056614,0.067982,0.503200
0.470000,0.042446,0.050975,0.501800
0.480000,0.028290,0.033977,0.500800
0.490000,0.014143,0.016987,0.500200
0.500000,0.000000,0.000000,0.500000
0.510000,0.014143,0.016987,0.500200
0.520000,0.028290,0.033977,0.500800
0.530000,0.042446,0.050975,0.501800
0.540000,0.056614,0.067982,0.503200
0.550000,0.070799,0.085003,0.505000
0.560000,0.085007,0.102042,0.507200
0.570000,0.099240,0.119101,0.509800
0.580000,0.113503,0.136184,0.512800
0.590000,0.127802,0.153296,0.516200
0.600000,0.142141,0.170439,0.520000
0.610000,0.156525,0.187618,0.524200
0.620000,0.170959,0.204836,0.528800
0.630000,0.185449,0.222099,0.533800
0.640000,0.200000,0.239409,0.539200
0.650000,0.214618,0.256772,0.545000
0.660000,0.229309,0.274192,0.551200
0.670000,0.244079,0.291674,0.557800
0.680000,0.258936,0.309222,0.564800
0.690000,0.273886,0.326843,0.572200
0.700000,0.288937,0.344542,0.580000
0.710000,0.304098,0.362324,0.588200
0.720000,0.319378,0.380196,0.596800
0.730000,0.334785,0.398165,0.605800
0.740000,0.350331,0.416237,0.615200
0.750000,0.366025,0.434421,0.625000
0.760000,0.381882,0.452725,0.635200
0.770000,0.397913,0.471157,0.645800
0.780000,0.414135,0.489727,0.656800
0.790000,0.430562,0.508446,0.668200
0.800000,0.447214,0.527325,0.680000
0.810000,0.464110,0.546378,0.692200
0.820000,0.481274,0.565617,0.704800
0.830000,0.498733,0.585060,0.717800
0.840000,0.516515,0.604723,0.731200
0.850000,0.534656,0.624628,0.745000
0.860000,0.553196,0.644795,0.759200
0.870000,0.572184,0.665253,0.773800
0.880000,0.591675,0.686031,0.788800
0.890000,0.611741,0.707166,0.804200
0.900000,0.632470,0.728700,0.820000
0.910000,0.653978,0.750686,0.836200
0.920000,0.676429,0.773189,0.852800
0.930000,0.700073,0.796289,0.869800
0.940000,0.725346,0.820095,0.887200
0.950000,0.753103,0.844750,0.905000
0.960000,0.785194,0.870464,0.923200
0.970000,0.825823,0.897557,0.941800
0.980000,0.884302,0.926585,0.960800
0.990000,0.978267,0.958753,0.980200
1.000000,1.155664,1.000000,1.000000
