alpha,RD_CCJS,BJS,B_div,RB_div,K
0.970000,0.789624,0.805608,0.805608,0.897557,0.941800
0.970299,0.790696,0.807110,0.807110,0.898393,0.942362
0.970598,0.791779,0.808616,0.808616,0.899231,0.942925
0.970897,0.792874,0.810127,0.810127,0.900070,0.943488
0.971196,0.793980,0.811642,0.811642,0.900912,0.944051
0.971495,0.795099,0.813162,0.813162,0.901755,0.944615
0.971794,0.796230,0.814686,0.814686,0.902600,0.945179
0.972093,0.797376,0.816216,0.816216,0.903446,0.945744
0.972392,0.798536,0.817750,0.817750,0.904295,0.946308
0.972691,0.799712,0.819288,0.819288,0.905145,0.946874
0.972990,0.800904,0.820832,0.820832,0.905998,0.947439
0.973289,0.802113,0.822381,0.822381,0.906852,0.948005
0.973588,0.803341,0.823934,0.823934,0.907708,0.948571
0.973887,0.804588,0.825493,0.825493,0.908566,0.949138
0.974186,0.805855,0.827056,0.827056,0.909426,0.949705
0.974485,0.807144,0.828625,0.828625,0.910288,0.950272
0.974784,0.808457,0.830199,0.830199,0.911152,0.950840
0.975083,0.809793,0.831778,0.831778,0.912019,0.951408
0.975382,0.811156,0.833362,0.833362,0.912887,0.951976
0.975681,0.812547,0.834952,0.834952,0.913757,0.952545
0.975980,0.813966,0.836548,0.836548,0.914630,0.953114
0.976279,0.815417,0.838148,0.838148,0.915504,0.953683
0.976578,0.816901,0.839755,0.839755,0.916381,0.954253
0.976877,0.818420,0.841367,0.841367,0.917260,0.954823
0.977176,0.819977,0.842984,0.842984,0.918142,0.955394
0.977475,0.821573,0.844608,0.844608,0.919025,0.955965
0.977774,0.823212,0.846237,0.846237,0.919912,0.956536
0.978073,0.824896,0.847872,0.847872,0.920800,0.957108
0.978372,0.826627,0.849514,0.849514,0.921691,0.957680
0.978671,0.828409,0.851161,0.851161,0.922584,0.958252
0.978970,0.830246,0.852815,0.852815,0.923480,0.958825
0.979269,0.832140,0.854475,0.854475,0.924378,0.959398
0.979568,0.834095,0.856141,0.856141,0.925279,0.959971
0.979867,0.836114,0.857813,0.857813,0.926182,0.960545
0.980166,0.838203,0.859493,0.859493,0.927088,0.961119
0.980465,0.840365,0.861178,0.861178,0.927997,0.961693
0.980764,0.842605,0.862871,0.862871,0.928908,0.962268
0.981063,0.844927,0.864570,0.864570,0.929823,0.962843
0.981362,0.847336,0.866277,0.866277,0.930740,0.963419
0.981661,0.849838,0.867990,0.867990,0.931660,0.963995
0.981960,0.852437,0.869710,0.869710,0.932583,0.964571
0.982259,0.855140,0.871438,0.871438,0.933509,0.965147
0.982558,0.857953,0.873173,0.873173,0.934438,0.965724
0.982857,0.860881,0.874916,0.874916,0.935370,0.966302
0.983156,0.863931,0.876667,0.876667,0.936305,0.966879
0.983455,0.867109,0.878425,0.878425,0.937243,0.967457
0.983754,0.870423,0.880191,0.880191,0.938185,0.968036
0.984053,0.873878,0.881965,0.881965,0.939130,0.968615
0.984352,0.877482,0.883747,0.883747,0.940078,0.969194
0.984651,0.881242,0.885538,0.885538,0.941030,0.969773
0.984950,0.885165,0.887338,0.887338,0.941986,0.970353
0.985249,0.889258,0.889146,0.889146,0.942945,0.970933
0.985548,0.893528,0.890962,0.890962,0.943908,0.971514
0.985847,0.897981,0.892788,0.892788,0.944875,0.972095
0.986146,0.902626,0.894624,0.894624,0.945845,0.972676
0.986445,0.907468,0.896468,0.896468,0.946820,0.973257
0.986744,0.912512,0.898322,0.898322,0.947799,0.973839
0.987043,0.917766,0.900187,0.900187,0.948782,0.974422
0.987342,0.923234,0.902061,0.902061,0.949769,0.975004
0.987641,0.928920,0.903945,0.903945,0.950760,0.975587
0.987940,0.934828,0.905841,0.905841,0.951757,0.976171
0.988239,0.940962,0.907746,0.907746,0.952757,0.976755
0.988538,0.947323,0.909663,0.909663,0.953763,0.977339
0.988837,0.953912,0.911592,0.911592,0.954773,0.977923
0.989136,0.960728,0.913532,0.913532,0.955789,0.978508
0.989435,0.967771,0.915484,0.915484,0.956809,0.979093
0.989734,0.975036,0.917449,0.917449,0.957835,0.979679
0.990033,0.982521,0.919426,0.919426,0.958867,0.980265
0.990332,0.990218,0.921416,0.921416,0.959904,0.980851
0.990631,0.998121,0.923420,0.923420,0.960947,0.981438
0.990930,1.006221,0.925437,0.925437,0.961996,0.982025
0.991229,1.014507,0.927469,0.927469,0.963052,0.982612
0.991528,1.022966,0.929516,0.929516,0.964114,0.983200
0.991827,1.031586,0.931578,0.931578,0.965183,0.983788
0.992126,1.040350,0.933656,0.933656,0.966259,0.984376
0.992425,1.049243,0.935751,0.935751,0.967342,0.984965
