alpha,delta,RD_CCJS
0.0,1e-06,0.005828
0.01,1e-06,0.083961
0.02,1e-06,0.130785
0.03,1e-06,0.159941
0.04,1e-06,0.180505
0.05,1e-06,0.197117
0.06,1e-06,0.211756
0.07,1e-06,0.225244
0.08,1e-06,0.237946
0.09,1e-06,0.250044
0.1,1e-06,0.261645
0.11,1e-06,0.272821
0.12,1e-06,0.283625
0.13,1e-06,0.2941
0.14,1e-06,0.304279
0.15,1e-06,0.314193
0.16,1e-06,0.323865
0.17,1e-06,0.333317
0.18,1e-06,0.342569
0.19,1e-06,0.351636
0.2,1e-06,0.360534
0.21,1e-06,0.369275
0.22,1e-06,0.377871
0.23,1e-06,0.386333
0.24,1e-06,0.394669
0.25,1e-06,0.40289
0.26,1e-06,0.411002
0.27,1e-06,0.419012
0.28,1e-06,0.426929
0.29,1e-06,0.434757
0.3,1e-06,0.442502
0.31,1e-06,0.450171
0.32,1e-06,0.457767
0.33,1e-06,0.465296
0.34,1e-06,0.472761
0.35,1e-06,0.480168
0.36,1e-06,0.487519
0.37,1e-06,0.49482
0.38,1e-06,0.502072
0.39,1e-06,0.50928
0.4,1e-06,0.516447
0.41,1e-06,0.523576
0.42,1e-06,0.530669
0.43,1e-06,0.537731
0.44,1e-06,0.544763
0.45,1e-06,0.551769
0.46,1e-06,0.55875
0.47,1e-06,0.565711
0.48,1e-06,0.572652
0.49,1e-06,0.579577
0.5,1e-06,0.586489
0.51,1e-06,0.593389
0.52,1e-06,0.600281
0.53,1e-06,0.607166
0.54,1e-06,0.614047
0.55,1e-06,0.620927
0.56,1e-06,0.627808
0.57,1e-06,0.634693
0.58,1e-06,0.641584
0.59,1e-06,0.648483
0.6,1e-06,0.655394
0.61,1e-06,0.66232
0.62,1e-06,0.669263
0.63,1e-06,0.676225
0.64,1e-06,0.683211
0.65,1e-06,0.690224
0.66,1e-06,0.697266
0.67,1e-06,0.704341
0.68,1e-06,0.711453
0.69,1e-06,0.718605
0.7,1e-06,0.725803
0.71,1e-06,0.73305
0.72,1e-06,0.740351
0.73,1e-06,0.747711
0.74,1e-06,0.755136
0.75,1e-06,0.762632
0.76,1e-06,0.770204
0.77,1e-06,0.777861
0.78,1e-06,0.78561
0.79,1e-06,0.79346
0.8,1e-06,0.80142
0.81,1e-06,0.809501
0.82,1e-06,0.817716
0.83,1e-06,0.826078
0.84,1e-06,0.834604
0.85,1e-06,0.84331
0.86,1e-06,0.85222
0.87,1e-06,0.861358
0.88,1e-06,0.870755
0.89,1e-06,0.880448
0.9,1e-06,0.890483
0.91,1e-06,0.900923
0.92,1e-06,0.911852
0.93,1e-06,0.923404
0.94,1e-06,0.935802
0.95,1e-06,0.949485
0.96,1e-06,0.965387
0.97,1e-06,0.985605
0.98,1e-06,1.014746
0.99,1e-06,1.061553
1.0,1e-06,1.150117
0.0,3e-06,0.005827
0.01,3e-06,0.083964
0.02,3e-06,0.130792
0.03,3e-06,0.15995
0.04,3e-06,0.180514
0.05,3e-06,0.197126
0.06,3e-06,0.211765
0.07,3e-06,0.225253
0.08,3e-06,0.237954
0.09,3e-06,0.250052
0.1,3e-06,0.261653
0.11,3e-06,0.272829
0.12,3e-06,0.283633
0.13,3e-06,0.294108
0.14,3e-06,0.304287
0.15,3e-06,0.3142
0.16,3e-06,0.323873
0.17,3e-06,0.333325
0.18,3e-06,0.342577
0.19,3e-06,0.351644
0.2,3e-06,0.360542
0.21,3e-06,0.369283
0.22,3e-06,0.377879
0.23,3e-06,0.38634
0.24,3e-06,0.394677
0.25,3e-06,0.402897
0.26,3e-06,0.411009
0.27,3e-06,0.41902
0.28,3e-06,0.426936
0.29,3e-06,0.434764
0.3,3e-06,0.44251
0.31,3e-06,0.450178
0.32,3e-06,0.457775
0.33,3e-06,0.465303
0.34,3e-06,0.472769
0.35,3e-06,0.480176
0.36,3e-06,0.487527
0.37,3e-06,0.494827
0.38,3e-06,0.50208
0.39,3e-06,0.509288
0.4,3e-06,0.516455
0.41,3e-06,0.523583
0.42,3e-06,0.530677
0.43,3e-06,0.537739
0.44,3e-06,0.544771
0.45,3e-06,0.551777
0.46,3e-06,0.558758
0.47,3e-06,0.565719
0.48,3e-06,0.57266
0.49,3e-06,0.579586
0.5,3e-06,0.586497
0.51,3e-06,0.593397
0.52,3e-06,0.600289
0.53,3e-06,0.607174
0.54,3e-06,0.614055
0.55,3e-06,0.620935
0.56,3e-06,0.627816
0.57,3e-06,0.634701
0.58,3e-06,0.641592
0.59,3e-06,0.648492
0.6,3e-06,0.655403
0.61,3e-06,0.662328
0.62,3e-06,0.669271
0.63,3e-06,0.676234
0.64,3e-06,0.68322
0.65,3e-06,0.690232
0.66,3e-06,0.697274
0.67,3e-06,0.704349
0.68,3e-06,0.711461
0.69,3e-06,0.718614
0.7,3e-06,0.725812
0.71,3e-06,0.733059
0.72,3e-06,0.74036
0.73,3e-06,0.74772
0.74,3e-06,0.755145
