alpha,epsilon,RD_CCJS
0.0,0.001,0.009016
0.01,0.001,0.130229
0.02,0.001,0.149802
0.03,0.001,0.167415
0.04,0.001,0.183538
0.05,0.001,0.198497
0.06,0.001,0.212522
0.07,0.001,0.225778
0.08,0.001,0.238389
0.09,0.001,0.250449
0.1,0.001,0.262032
0.11,0.001,0.273199
0.12,0.001,0.283996
0.13,0.001,0.294466
0.14,0.001,0.304642
0.15,0.001,0.314552
0.16,0.001,0.324222
0.17,0.001,0.333672
0.18,0.001,0.342922
0.19,0.001,0.351988
0.2,0.001,0.360885
0.21,0.001,0.369625
0.22,0.001,0.37822
0.23,0.001,0.386682
0.24,0.001,0.395018
0.25,0.001,0.403238
0.26,0.001,0.41135
0.27,0.001,0.419361
0.28,0.001,0.427277
0.29,0.001,0.435106
0.3,0.001,0.442852
0.31,0.001,0.450521
0.32,0.001,0.458118
0.33,0.001,0.465647
0.34,0.001,0.473113
0.35,0.001,0.480521
0.36,0.001,0.487873
0.37,0.001,0.495174
0.38,0.001,0.502428
0.39,0.001,0.509637
0.4,0.001,0.516804
0.41,0.001,0.523934
0.42,0.001,0.531029
0.43,0.001,0.538092
0.44,0.001,0.545125
0.45,0.001,0.552132
0.46,0.001,0.559115
0.47,0.001,0.566077
0.48,0.001,0.57302
0.49,0.001,0.579947
0.5,0.001,0.58686
0.51,0.001,0.593761
0.52,0.001,0.600654
0.53,0.001,0.607541
0.54,0.001,0.614424
0.55,0.001,0.621305
0.56,0.001,0.628188
0.57,0.001,0.635074
0.58,0.001,0.641967
0.59,0.001,0.648868
0.6,0.001,0.655781
0.61,0.001,0.662708
0.62,0.001,0.669653
0.63,0.001,0.676617
0.64,0.001,0.683605
0.65,0.001,0.690619
0.66,0.001,0.697663
0.67,0.001,0.70474
0.68,0.001,0.711854
0.69,0.001,0.719008
0.7,0.001,0.726208
0.71,0.001,0.733457
0.72,0.001,0.74076
0.73,0.001,0.748122
0.74,0.001,0.755549
