alpha,RD_CCJS,BJS,B_div,RB_div
0.000100,0.000000,0.000000,0.000000,0.000000
0.010098,0.155787,0.004712,0.004712,0.068642
0.020096,0.229720,0.009716,0.009716,0.098570
0.030094,0.249061,0.014778,0.014778,0.121564
0.040092,0.261678,0.019886,0.019886,0.141017
0.050090,0.273325,0.025037,0.025037,0.158230
0.060088,0.284533,0.030229,0.030229,0.173866
0.070086,0.295381,0.035464,0.035464,0.188318
0.080084,0.305911,0.040740,0.040740,0.201841
0.090082,0.316153,0.046058,0.046058,0.214611
0.100080,0.326134,0.051418,0.051418,0.226756
0.110078,0.335877,0.056821,0.056821,0.238372
0.120076,0.345403,0.062268,0.062268,0.249536
0.130074,0.354730,0.067759,0.067759,0.260305
0.140072,0.363873,0.073294,0.073294,0.270729
0.150070,0.372846,0.078875,0.078875,0.280847
0.160068,0.381662,0.084502,0.084502,0.290693
0.170066,0.390333,0.090177,0.090177,0.300294
0.180064,0.398868,0.095898,0.095898,0.309675
0.190062,0.407277,0.101669,0.101669,0.318855
0.200060,0.415568,0.107489,0.107489,0.327855
0.210058,0.423749,0.113359,0.113359,0.336688
0.220056,0.431828,0.119280,0.119280,0.345369
0.230054,0.439810,0.125253,0.125253,0.353911
0.240052,0.447702,0.131279,0.131279,0.362325
0.250050,0.455509,0.137360,0.137360,0.370621
0.260048,0.463237,0.143495,0.143495,0.378808
0.270046,0.470890,0.149687,0.149687,0.386894
0.280044,0.478473,0.155935,0.155935,0.394887
0.290042,0.485991,0.162243,0.162243,0.402793
0.300040,0.493447,0.168609,0.168609,0.410620
0.310038,0.500845,0.175036,0.175036,0.418373
0.320036,0.508189,0.181525,0.181525,0.426058
0.330034,0.515482,0.188078,0.188078,0.433679
0.340032,0.522728,0.194695,0.194695,0.441242
0.350030,0.529929,0.201377,0.201377,0.448751
0.360028,0.537089,0.208127,0.208127,0.456210
0.370026,0.544211,0.214946,0.214946,0.463623
0.380024,0.551297,0.221835,0.221835,0.470994
0.390022,0.558350,0.228796,0.228796,0.478326
0.400020,0.565373,0.235830,0.235830,0.485624
0.410018,0.572368,0.242940,0.242940,0.492889
0.420016,0.579337,0.250126,0.250126,0.500126
0.430014,0.586284,0.257392,0.257392,0.507338
0.440012,0.593209,0.264737,0.264737,0.514526
0.450010,0.600117,0.272166,0.272166,0.521695
0.460008,0.607008,0.279679,0.279679,0.528847
0.470006,0.613886,0.287279,0.287279,0.535984
0.480004,0.620752,0.294967,0.294967,0.543109
0.490002,0.627608,0.302747,0.302747,0.550225
0.500000,0.634458,0.310621,0.310621,0.557334
0.509998,0.641302,0.318591,0.318591,0.564438
0.519996,0.648144,0.326659,0.326659,0.571541
0.529994,0.654985,0.334829,0.334829,0.578644
0.539992,0.661828,0.343104,0.343104,0.585751
0.549990,0.668675,0.351486,0.351486,0.592862
0.559988,0.675529,0.359978,0.359978,0.599982
0.569986,0.682391,0.368585,0.368585,0.607112
0.579984,0.689264,0.377308,0.377308,0.614254
0.589982,0.696151,0.386153,0.386153,0.621412
0.599980,0.703054,0.395122,0.395122,0.628587
0.609978,0.709976,0.404220,0.404220,0.635783
0.619976,0.716920,0.413451,0.413451,0.643002
0.629974,0.723888,0.422820,0.422820,0.650246
0.639972,0.730883,0.432331,0.432331,0.657519
0.649970,0.737909,0.441989,0.441989,0.664823
0.659968,0.744969,0.451800,0.451800,0.672161
0.669966,0.752065,0.461769,0.461769,0.679536
0.679964,0.759203,0.471903,0.471903,0.686952
0.689962,0.766386,0.482207,0.482207,0.694411
0.699960,0.773617,0.492688,0.492688,0.701918
0.709958,0.780902,0.503355,0.503355,0.709475
0.719956,0.788244,0.514215,0.514215,0.717088
0.729954,0.795650,0.525275,0.525275,0.724759
0.739952,0.803124,0.536546,0.536546,0.732493
0.749950,0.810673,0.548037,0.548037,0.740295
0.759948,0.818303,0.559759,0.559759,0.748170
0.769946,0.826021,0.571723,0.571723,0.756124
0.779944,0.833836,0.583942,0.583942,0.764161
0.789942,0.841755,0.596430,0.596430,0.772289
0.799940,0.849790,0.609202,0.609202,0.780514
0.809938,0.857950,0.622274,0.622274,0.788843
0.819936,0.866248,0.635665,0.635665,0.797286
0.829934,0.874698,0.649395,0.649395,0.805851
0.839932,0.883317,0.663489,0.663489,0.814548
0.849930,0.892122,0.677971,0.677971,0.823390
0.859928,0.901136,0.692871,0.692871,0.832388
0.869926,0.910384,0.708222,0.708222,0.841560
0.879924,0.919897,0.724066,0.724066,0.850920
0.889922,0.929712,0.740445,0.740445,0.860491
0.899920,0.939875,0.757416,0.757416,0.870297
0.909918,0.950443,0.775043,0.775043,0.880365
0.919916,0.961490,0.793406,0.793406,0.890734
0.929914,0.973114,0.812605,0.812605,0.901446
0.939912,0.985449,0.832769,0.832769,0.912562
0.949910,0.998692,0.854071,0.854071,0.924159
0.959908,1.013174,0.876753,0.876753,0.936351
0.969906,1.029784,0.901183,0.901183,0.949307
0.979904,1.053921,0.927985,0.927985,0.963320
0.989902,1.123808,0.958470,0.958470,0.979015
0.999900,1.264966,0.998527,0.998527,0.999263
