round,delta=0.001,delta=0.005,delta=0.01,delta=0.02,delta=0.05,delta=0.1,delta=0.2
0,0.621725,0.621725,0.621725,0.621725,0.621725,0.621725,0.621725
1,0.622546,1.180506,1.181005,1.189539,1.181406,0.697428,1.181655
2,1.125464,1.127006,1.126325,1.138976,1.138809,1.159607,1.201056
3,1.056300,1.057484,1.059738,1.064929,1.189442,1.098220,1.159612
4,0.999444,1.001181,1.164166,1.168659,1.163402,1.201854,1.118227
5,0.954673,0.957113,1.128766,1.185618,1.127247,1.163360,1.223919
6,0.918902,0.921530,1.173381,1.176477,1.174657,1.204082,1.171710
7,0.889935,1.058436,1.183681,1.157544,1.184662,1.215635,1.223459
8,0.865987,1.127660,1.177399,1.132383,1.180772,1.207050,1.205952
9,0.999318,1.103757,1.163804,1.109253,1.171416,1.210007,1.241718
10,1.078011,1.080261,1.147652,1.151033,1.186315,1.211036,1.222064
11,1.056146,1.127426,1.130062,1.132953,1.178989,1.211420,1.239728
12,1.107350,1.155364,1.112335,1.162120,1.190415,1.204223,1.239174
13,1.139881,1.171000,1.094225,1.178154,1.191675,1.195632,1.250492
14,1.125445,1.178717,1.077514,1.186361,1.191586,1.185406,1.238230
15,1.149151,1.180965,1.061519,1.187983,1.194754,1.173578,1.247199
16,1.136963,1.178946,1.045307,1.186002,1.193823,1.187005,1.254677
17,1.154664,1.180276,1.030003,1.180971,1.193915,1.196488,1.257098
18,1.166253,1.178943,1.072799,1.174015,,1.194997,1.256673
19,1.158881,1.180185,1.059354,1.181411,,1.190096,1.250595
20,1.150747,1.179086,1.092763,1.185177,,1.182298,1.245579
21,1.162091,1.180078,1.081442,1.186595,,1.177119,1.246401
22,1.155173,1.179167,1.070393,1.185084,,1.191565,1.248999
23,1.147829,,1.059660,1.183515,,1.182382,1.250286
24,1.140100,,1.049079,1.180228,,1.191068,1.253026
25,1.152284,,1.039194,1.176277,,1.184483,1.254851
26,1.145526,,1.029520,1.171777,,1.179521,1.252523
27,1.138518,,1.059398,1.177800,,1.189777,1.251701
28,1.131366,,1.050452,1.182320,,1.185047,1.250707
29,1.143651,,1.041901,1.179116,,1.177364,
30,1.153401,,1.033327,1.175373,,1.184884,
31,1.161020,,1.059028,1.180256,,1.192282,
32,1.156285,,1.051298,1.183863,,1.188356,
33,1.162966,,1.073572,1.181201,,1.194377,
34,1.158723,,1.066288,1.177653,,1.200803,
35,1.154201,,1.059034,1.181747,,1.203817,
36,1.160764,,1.051825,1.184389,,1.208492,
37,1.156668,,1.071779,1.182182,,1.210656,
38,1.162501,,1.089045,1.184641,,1.211768,
39,1.167169,,1.104073,1.182484,,1.211402,
40,1.170835,,1.098255,1.184833,,1.212326,
41,1.173622,,1.092503,1.183223,,,
42,1.175640,,1.106211,1.181361,,,
43,1.174022,,1.100795,1.183802,,,
44,1.175862,,1.095461,1.181789,,,
45,1.177077,,1.107845,1.179455,,,
46,1.176040,,1.102673,1.177020,,,
47,1.174666,,1.113993,1.174482,,,
48,1.176199,,1.124032,1.178063,,,
49,1.174937,,1.132722,1.181042,,,
50,1.173408,,1.128337,1.183139,,,
51,1.175164,,1.123991,1.181525,,,
52,1.173723,,1.119560,1.183666,,,
53,1.175349,,1.115254,1.185386,,,
54,1.174022,,1.111028,1.186658,,,
55,1.172473,,1.120015,1.187618,,,
56,1.174279,,1.128103,1.186905,,,
57,1.172842,,1.124385,,,,
58,1.171232,,1.131917,,,,
59,1.173175,,1.128230,,,,
60,1.171664,,1.124660,,,,
61,1.173486,,1.131699,,,,
62,1.174958,,1.138084,,,,
63,1.176099,,1.143907,,,,
64,1.176961,,1.149076,,,,
65,1.176215,,1.153802,,,,
66,,,1.158049,,,,
67,,,1.155533,,,,
68,,,1.152812,,,,
69,,,1.156960,,,,
70,,,1.154575,,,,
71,,,1.158442,,,,
72,,,1.156148,,,,
73,,,1.159787,,,,
74,,,1.157574,,,,
75,,,1.155194,,,,
76,,,1.158764,,,,
77,,,1.162029,,,,
78,,,1.164939,,,,
79,,,1.167503,,,,
80,,,1.165793,,,,
81,,,1.168201,,,,
82,,,1.170443,,,,
83,,,1.172462,,,,
84,,,1.170975,,,,
85,,,1.169507,,,,
86,,,1.167932,,,,
87,,,1.169960,,,,
88,,,1.168387,,,,
89,,,1.166898,,,,
90,,,1.165318,,,,
91,,,1.167596,,,,
92,,,1.169674,,,,
93,,,1.171533,,,,
94,,,1.170131,,,,
95,,,1.171861,,,,
96,,,1.173348,,,,
97,,,1.172176,,,,
98,,,1.171024,,,,
99,,,1.172561,,,,
100,,,1.171395,,,,
