round,delta=0.001,delta=0.005,delta=0.01,delta=0.02,delta=0.05,delta=0.1,delta=0.2
0,0.621725,0.621725,0.621725,0.621725,0.621725,0.621725,0.621725
1,0.622498,0.623280,0.623661,0.621510,0.620192,0.648698,0.596477
2,0.622246,0.622820,0.623992,0.624850,0.623727,0.663774,0.707141
3,,0.622760,0.624190,0.627850,0.647654,0.671752,0.762757
4,,,,0.634130,0.645519,0.663603,0.750641
5,,,,0.633093,0.643317,0.683070,0.739149
6,,,,0.631110,0.641542,0.676072,0.724318
7,,,,0.633605,0.641540,0.677407,0.744339
8,,,,0.633248,0.646470,0.678632,0.727595
9,,,,0.634949,0.645487,0.679643,0.717341
10,,,,0.636365,0.646724,0.675412,0.708232
11,,,,0.637336,0.642639,0.669117,0.701399
12,,,,0.637091,0.643713,0.664627,0.701341
13,,,,,0.647899,0.664348,0.699741
14,,,,,0.651448,0.659463,0.711836
15,,,,,0.651345,0.656458,0.724515
16,,,,,0.654230,0.654839,0.736938
17,,,,,0.653972,0.662005,0.736869
18,,,,,0.652807,0.657539,0.745649
19,,,,,0.651670,0.659397,0.740731
20,,,,,0.651964,0.665709,0.749946
21,,,,,0.652567,0.670858,0.745117
22,,,,,,0.671351,0.739150
23,,,,,,0.673060,0.747549
24,,,,,,0.670292,0.744459
25,,,,,,0.669357,0.741394
26,,,,,,0.669867,0.749780
27,,,,,,,0.746700
28,,,,,,,0.743864
29,,,,,,,0.741327
30,,,,,,,0.746522
31,,,,,,,0.747640
32,,,,,,,0.751076
33,,,,,,,0.748226
34,,,,,,,0.753162
35,,,,,,,0.752694
36,,,,,,,0.749684
37,,,,,,,0.746010
38,,,,,,,0.750222
39,,,,,,,0.747210
40,,,,,,,0.746416
41,,,,,,,0.747364
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
