n,alpha,sup_rate
1,0.125000,1.000000
1,0.142857,1.000000
1,0.166667,1.000000
1,0.200000,1.000000
1,0.250000,1.000000
1,0.333333,1.000000
1,0.500000,1.000000
1,1.000000,1.000000
1,2.000000,1.000000
1,3.000000,1.000000
1,4.000000,1.000000
1,5.000000,1.000000
1,6.000000,1.000000
1,7.000000,1.000000
1,8.000000,1.000000
2,0.125000,1.090508
2,0.142857,1.104090
2,0.166667,1.122462
2,0.200000,1.148698
2,0.250000,1.189207
2,0.333333,1.259921
2,0.500000,1.414214
2,1.000000,2.000000
2,2.000000,4.000000
2,3.000000,8.000000
2,4.000000,16.000000
2,5.000000,32.000000
2,6.000000,64.000000
2,7.000000,128.000000
2,8.000000,256.000000
3,0.125000,1.147203
3,0.142857,1.169931
3,0.166667,1.200937
3,0.200000,1.245731
3,0.250000,1.316074
3,0.333333,1.442250
3,0.500000,1.732051
3,1.000000,3.000000
3,2.000000,9.000000
3,3.000000,27.000000
3,4.000000,81.000000
3,5.000000,243.000000
3,6.000000,729.000000
3,7.000000,2187.000000
3,8.000000,6561.000000
4,0.125000,1.189207
4,0.142857,1.219014
4,0.166667,1.259921
4,0.200000,1.319508
4,0.250000,1.414214
4,0.333333,1.587401
4,0.500000,2.000000
4,1.000000,4.000000
4,2.000000,16.000000
4,3.000000,64.000000
4,4.000000,256.000000
4,5.000000,1024.000000
4,6.000000,4096.000000
4,7.000000,16384.000000
4,8.000000,65536.000000
5,0.125000,1.222845
5,0.142857,1.258499
5,0.166667,1.307660
5,0.200000,1.379730
5,0.250000,1.495349
5,0.333333,1.709976
5,0.500000,2.236068
5,1.000000,5.000000
5,2.000000,25.000000
5,3.000000,125.000000
5,4.000000,625.000000
5,5.000000,3125.000000
5,6.000000,15625.000000
5,7.000000,78125.000000
5,8.000000,390625.000000
6,0.125000,1.251033
6,0.142857,1.291708
6,0.166667,1.348006
6,0.200000,1.430969
6,0.250000,1.565085
6,0.333333,1.817121
6,0.500000,2.449490
6,1.000000,6.000000
6,2.000000,36.000000
6,3.000000,216.000000
6,4.000000,1296.000000
6,5.000000,7776.000000
6,6.000000,46656.000000
6,7.000000,279936.000000
6,8.000000,1679616.000000
7,0.125000,1.275373
7,0.142857,1.320469
7,0.166667,1.383088
7,0.200000,1.475773
7,0.250000,1.626577
7,0.333333,1.912931
7,0.500000,2.645751
7,1.000000,7.000000
7,2.000000,49.000000
7,3.000000,343.000000
7,4.000000,2401.000000
7,5.000000,16807.000000
7,6.000000,117649.000000
7,7.000000,823543.000000
7,8.000000,5764801.000000
8,0.125000,1.296840
8,0.142857,1.345900
8,0.166667,1.414214
8,0.200000,1.515717
8,0.250000,1.681793
8,0.333333,2.000000
8,0.500000,2.828427
8,1.000000,8.000000
8,2.000000,64.000000
8,3.000000,512.000000
8,4.000000,4096.000000
8,5.000000,32768.000000
8,6.000000,262144.000000
8,7.000000,2097152.000000
8,8.000000,16777216.000000
9,0.125000,1.316074
9,0.142857,1.368738
9,0.166667,1.442250
9,0.200000,1.551846
9,0.250000,1.732051
9,0.333333,2.080084
9,0.500000,3.000000
9,1.000000,9.000000
9,2.000000,81.000000
9,3.000000,729.000000
9,4.000000,6561.000000
9,5.000000,59049.000000
9,6.000000,531441.000000
9,7.000000,4782969.000000
9,8.000000,43046721.000000
10,0.125000,1.333521
10,0.142857,1.389495
10,0.166667,1.467799
10,0.200000,1.584893
10,0.250000,1.778279
10,0.333333,2.154435
10,0.500000,3.162278
10,1.000000,10.000000
10,2.000000,100.000000
10,3.000000,1000.000000
10,4.000000,10000.000000
10,5.000000,100000.000000
10,6.000000,1000000.000000
10,7.000000,10000000.000000
10,8.000000,100000000.000000
